v	unc	v1'	v2'	l2'	v3'	J'	parity'	v1''	v2''	l2''	v3''	J''	parity''	tag
0.757206	0.0001	0	0	0	01	1		0	0	0	01	0		tag1
0.757232	0.0001	0	0	0	01	1		0	0	0	01	0		tag2
0.757245	0.0001	0	0	0	01	1		0	0	0	01	0		tag3
1.514423	0.0001	0	0	0	01	2		0	0	0	01	1		tag4
1.514428	0.0001	0	0	0	01	2		0	0	0	01	1		tag5
1.514434	0.0001	0	0	0	01	2		0	0	0	01	1		tag6
1.514441	0.0001	0	0	0	01	2		0	0	0	01	1		tag7
1.514453	0.0001	0	0	0	01	2		0	0	0	01	1		tag8
1.514455	0.0001	0	0	0	01	2		0	0	0	01	1		tag9
1.514458	0.0001	0	0	0	01	2		0	0	0	01	1		tag10
1.514461	0.0001	0	0	0	01	2		0	0	0	01	1		tag11
1.51448	0.0001	0	0	0	01	2		0	0	0	01	1		tag12
2.271646	0.0001	0	0	0	01	3		0	0	0	01	2		tag13
2.271646	0.0001	0	0	0	01	3		0	0	0	01	2		tag14
2.271656	0.0001	0	0	0	01	3		0	0	0	01	2		tag15
2.271657	0.0001	0	0	0	01	3		0	0	0	01	2		tag16
2.271664	0.0001	0	0	0	01	3		0	0	0	01	2		tag17
2.271667	0.0001	0	0	0	01	3		0	0	0	01	2		tag18
2.271669	0.0001	0	0	0	01	3		0	0	0	01	2		tag19
2.27167	0.0001	0	0	0	01	3		0	0	0	01	2		tag20
2.27167	0.0001	0	0	0	01	3		0	0	0	01	2		tag21
2.271672	0.0001	0	0	0	01	3		0	0	0	01	2		tag22
2.271676	0.0001	0	0	0	01	3		0	0	0	01	2		tag23
2.271682	0.0001	0	0	0	01	3		0	0	0	01	2		tag24
2.271684	0.0001	0	0	0	01	3		0	0	0	01	2		tag25
2.271691	0.0001	0	0	0	01	3		0	0	0	01	2		tag26
3.028851	0.0001	0	0	0	01	4		0	0	0	01	3		tag27
3.028854	0.0001	0	0	0	01	4		0	0	0	01	3		tag28
3.028871	0.0001	0	0	0	01	4		0	0	0	01	3		tag29
3.028872	0.0001	0	0	0	01	4		0	0	0	01	3		tag30
3.028873	0.0001	0	0	0	01	4		0	0	0	01	3		tag31
3.028875	0.0001	0	0	0	01	4		0	0	0	01	3		tag32
3.028875	0.0001	0	0	0	01	4		0	0	0	01	3		tag33
3.028877	0.0001	0	0	0	01	4		0	0	0	01	3		tag34
3.028878	0.0001	0	0	0	01	4		0	0	0	01	3		tag35
3.028884	0.0001	0	0	0	01	4		0	0	0	01	3		tag36
3.028884	0.0001	0	0	0	01	4		0	0	0	01	3		tag37
3.028885	0.0001	0	0	0	01	4		0	0	0	01	3		tag38
3.028886	0.0001	0	0	0	01	4		0	0	0	01	3		tag39
3.028898	0.0001	0	0	0	01	4		0	0	0	01	3		tag40
3.0289	0.0001	0	0	0	01	4		0	0	0	01	3		tag41
3.786051	0.0001	0	0	0	01	5		0	0	0	01	4		tag42
3.786069	0.0001	0	0	0	01	5		0	0	0	01	4		tag43
3.786069	0.0001	0	0	0	01	5		0	0	0	01	4		tag44
3.78607	0.0001	0	0	0	01	5		0	0	0	01	4		tag45
3.786071	0.0001	0	0	0	01	5		0	0	0	01	4		tag46
3.786072	0.0001	0	0	0	01	5		0	0	0	01	4		tag47
3.786073	0.0001	0	0	0	01	5		0	0	0	01	4		tag48
3.786073	0.0001	0	0	0	01	5		0	0	0	01	4		tag49
3.786076	0.0001	0	0	0	01	5		0	0	0	01	4		tag50
3.786079	0.0001	0	0	0	01	5		0	0	0	01	4		tag51
3.786083	0.0001	0	0	0	01	5		0	0	0	01	4		tag52
3.786084	0.0001	0	0	0	01	5		0	0	0	01	4		tag53
3.786092	0.0001	0	0	0	01	5		0	0	0	01	4		tag54
3.786098	0.0001	0	0	0	01	5		0	0	0	01	4		tag55
4.543232	0.0001	0	0	0	01	6		0	0	0	01	5		tag56
4.543249	0.0001	0	0	0	01	6		0	0	0	01	5		tag57
4.543251	0.0001	0	0	0	01	6		0	0	0	01	5		tag58
4.543252	0.0001	0	0	0	01	6		0	0	0	01	5		tag59
4.543252	0.0001	0	0	0	01	6		0	0	0	01	5		tag60
4.543253	0.0001	0	0	0	01	6		0	0	0	01	5		tag61
4.543254	0.0001	0	0	0	01	6		0	0	0	01	5		tag62
4.543254	0.0001	0	0	0	01	6		0	0	0	01	5		tag63
4.543259	0.0001	0	0	0	01	6		0	0	0	01	5		tag64
4.543265	0.0001	0	0	0	01	6		0	0	0	01	5		tag65
4.543267	0.0001	0	0	0	01	6		0	0	0	01	5		tag66
5.300395	0.0001	0	0	0	01	7		0	0	0	01	6		tag67
5.300411	0.0001	0	0	0	01	7		0	0	0	01	6		tag68
5.300415	0.0001	0	0	0	01	7		0	0	0	01	6		tag69
5.300415	0.0001	0	0	0	01	7		0	0	0	01	6		tag70
5.300415	0.0001	0	0	0	01	7		0	0	0	01	6		tag71
5.300416	0.0001	0	0	0	01	7		0	0	0	01	6		tag72
5.300416	0.0001	0	0	0	01	7		0	0	0	01	6		tag73
5.300417	0.0001	0	0	0	01	7		0	0	0	01	6		tag74
5.300421	0.0001	0	0	0	01	7		0	0	0	01	6		tag75
5.300428	0.0001	0	0	0	01	7		0	0	0	01	6		tag76
5.300431	0.0001	0	0	0	01	7		0	0	0	01	6		tag77
6.057537	0.0001	0	0	0	01	8		0	0	0	01	7		tag78
6.057552	0.0001	0	0	0	01	8		0	0	0	01	7		tag79
6.057557	0.0001	0	0	0	01	8		0	0	0	01	7		tag80
6.057557	0.0001	0	0	0	01	8		0	0	0	01	7		tag81
6.057557	0.0001	0	0	0	01	8		0	0	0	01	7		tag82
6.057558	0.0001	0	0	0	01	8		0	0	0	01	7		tag83
6.057558	0.0001	0	0	0	01	8		0	0	0	01	7		tag84
6.057558	0.0001	0	0	0	01	8		0	0	0	01	7		tag85
6.057562	0.0001	0	0	0	01	8		0	0	0	01	7		tag86
6.057569	0.0001	0	0	0	01	8		0	0	0	01	7		tag87
6.057573	0.0001	0	0	0	01	8		0	0	0	01	7		tag88
6.814654	0.0001	0	0	0	01	9		0	0	0	01	8		tag89
6.814668	0.0001	0	0	0	01	9		0	0	0	01	8		tag90
6.814674	0.0001	0	0	0	01	9		0	0	0	01	8		tag91
6.814674	0.0001	0	0	0	01	9		0	0	0	01	8		tag92
6.814674	0.0001	0	0	0	01	9		0	0	0	01	8		tag93
6.814675	0.0001	0	0	0	01	9		0	0	0	01	8		tag94
6.814675	0.0001	0	0	0	01	9		0	0	0	01	8		tag95
6.814675	0.0001	0	0	0	01	9		0	0	0	01	8		tag96
6.814679	0.0001	0	0	0	01	9		0	0	0	01	8		tag97
6.814686	0.0001	0	0	0	01	9		0	0	0	01	8		tag98
6.814691	0.0001	0	0	0	01	9		0	0	0	01	8		tag99
6.82221	0.0001	0	1	1	01	9	f	0	1	1	01	8	e	tag100
6.832683	0.0001	0	1	1	01	9	f	0	1	1	01	8	e	tag101
7.571744	0.0001	0	0	0	01	10		0	0	0	01	9		tag102
7.571758	0.0001	0	0	0	01	10		0	0	0	01	9		tag103
7.571764	0.0001	0	0	0	01	10		0	0	0	01	9		tag104
7.571764	0.0001	0	0	0	01	10		0	0	0	01	9		tag105
7.571765	0.0001	0	0	0	01	10		0	0	0	01	9		tag106
7.571765	0.0001	0	0	0	01	10		0	0	0	01	9		tag107
7.571765	0.0001	0	0	0	01	10		0	0	0	01	9		tag108
