v	unc	v1'	v2'	l2'	v3'	r'	J'	sym'	v1''	v2''	l2''	v3''	r''	J''	sym''	tag
2.945424	0.0001	0	0	0	0	1	4	e	0	0	0	0	1	3	e	tag1
3.68176	0.0001	0	0	0	0	1	5	f	0	0	0	0	1	4	e	tag2
4.418079	0.0001	0	0	0	0	1	6	e	0	0	0	0	1	5	e	tag3
5.154383	0.0001	0	0	0	0	1	7	f	0	0	0	0	1	6	e	tag4
5.890667	0.0001	0	0	0	0	1	8	e	0	0	0	0	1	7	e	tag5
6.626927	0.0001	0	0	0	0	1	9	f	0	0	0	0	1	8	e	tag6
7.363162	0.0001	0	0	0	0	1	10	e	0	0	0	0	1	9	e	tag7
8.099369	0.0001	0	0	0	0	1	11	f	0	0	0	0	1	10	e	tag8
8.835544	0.0001	0	0	0	0	1	12	e	0	0	0	0	1	11	e	tag9
9.571685	0.0001	0	0	0	0	1	13	f	0	0	0	0	1	12	e	tag10
10.307789	0.0001	0	0	0	0	1	14	e	0	0	0	0	1	13	e	tag11
11.043853	0.0001	0	0	0	0	1	15	f	0	0	0	0	1	14	e	tag12
11.779875	0.0001	0	0	0	0	1	16	e	0	0	0	0	1	15	e	tag13
12.515851	0.0001	0	0	0	0	1	17	f	0	0	0	0	1	16	e	tag14
12.528509	0.0001	0	1	1	0	1	17	f	0	1	1	0	1	16	e	tag15
12.547826	0.0001	0	1	1	0	1	17	e	0	1	1	0	1	16	f	tag16
13.251778	0.0001	0	0	0	0	1	18	e	0	0	0	0	1	17	e	tag17
13.265177	0.0001	0	1	1	0	1	18	e	0	1	1	0	1	17	e	tag18
13.285628	0.0001	0	1	1	0	1	18	f	0	1	1	0	1	17	f	tag19
13.987654	0.0001	0	0	0	0	1	19	f	0	0	0	0	1	18	e	tag20
14.001793	0.0001	0	1	1	0	1	19	f	0	1	1	0	1	18	e	tag21
14.023379	0.0001	0	1	1	0	1	19	e	0	1	1	0	1	18	f	tag22
14.723477	0.0001	0	0	0	0	1	20	e	0	0	0	0	1	19	e	tag23
14.738354	0.0001	0	1	1	0	1	20	e	0	1	1	0	1	19	e	tag24
14.761074	0.0001	0	1	1	0	1	20	f	0	1	1	0	1	19	f	tag25
15.459241	0.0001	0	0	0	0	1	21	f	0	0	0	0	1	20	e	tag26
15.474857	0.0001	0	1	1	0	1	21	f	0	1	1	0	1	20	e	tag27
15.498711	0.0001	0	1	1	0	1	21	e	0	1	1	0	1	20	f	tag28
16.194947	0.0001	0	0	0	0	1	22	e	0	0	0	0	1	21	e	tag29
16.2113	0.0001	0	1	1	0	1	22	e	0	1	1	0	1	21	e	tag30
16.236287	0.0001	0	1	1	0	1	22	f	0	1	1	0	1	21	f	tag31
16.93059	0.0001	0	0	0	0	1	23	f	0	0	0	0	1	22	e	tag32
16.947678	0.0001	0	1	1	0	1	23	f	0	1	1	0	1	22	e	tag33
16.973799	0.0001	0	1	1	0	1	23	e	0	1	1	0	1	22	f	tag34
17.666167	0.0001	0	0	0	0	1	24	e	0	0	0	0	1	23	e	tag35
17.683992	0.0001	0	1	1	0	1	24	e	0	1	1	0	1	23	e	tag36
17.711244	0.0001	0	1	1	0	1	24	f	0	1	1	0	1	23	f	tag37
18.401676	0.0001	0	0	0	0	1	25	f	0	0	0	0	1	24	e	tag38
18.420235	0.0001	0	1	1	0	1	25	f	0	1	1	0	1	24	e	tag39
18.448619	0.0001	0	1	1	0	1	25	e	0	1	1	0	1	24	f	tag40
19.137113	0.0001	0	0	0	0	1	26	e	0	0	0	0	1	25	e	tag41
19.156406	0.0001	0	1	1	0	1	26	e	0	1	1	0	1	25	e	tag42
19.185923	0.0001	0	1	1	0	1	26	f	0	1	1	0	1	25	f	tag43
19.872477	0.0001	0	0	0	0	1	27	f	0	0	0	0	1	26	e	tag44
19.892503	0.0001	0	1	1	0	1	27	f	0	1	1	0	1	26	e	tag45
19.92315	0.0001	0	1	1	0	1	27	e	0	1	1	0	1	26	f	tag46
20.607764	0.0001	0	0	0	0	1	28	e	0	0	0	0	1	27	e	tag47
20.62852	0.0001	0	1	1	0	1	28	e	0	1	1	0	1	27	e	tag48
20.660299	0.0001	0	1	1	0	1	28	f	0	1	1	0	1	27	f	tag49
21.342971	0.0001	0	0	0	0	1	29	f	0	0	0	0	1	28	e	tag50
21.364458	0.0001	0	1	1	0	1	29	f	0	1	1	0	1	28	e	tag51
21.397367	0.0001	0	1	1	0	1	29	e	0	1	1	0	1	28	f	tag52
22.078096	0.0001	0	0	0	0	1	30	e	0	0	0	0	1	29	e	tag53
22.100312	0.0001	0	1	1	0	1	30	e	0	1	1	0	1	29	e	tag54
22.13435	0.0001	0	1	1	0	1	30	f	0	1	1	0	1	29	f	tag55
22.813134	0.0001	0	0	0	0	1	31	f	0	0	0	0	1	30	e	tag56
22.836078	0.0001	0	1	1	0	1	31	f	0	1	1	0	1	30	e	tag57
22.871247	0.0001	0	1	1	0	1	31	e	0	1	1	0	1	30	f	tag58
23.548085	0.0001	0	0	0	0	1	32	e	0	0	0	0	1	31	e	tag59
23.571756	0.0001	0	1	1	0	1	32	e	0	1	1	0	1	31	e	tag60
23.608054	0.0001	0	1	1	0	1	32	f	0	1	1	0	1	31	f	tag61
24.282946	0.0001	0	0	0	0	1	33	f	0	0	0	0	1	32	e	tag62
24.307342	0.0001	0	1	1	0	1	33	f	0	1	1	0	1	32	e	tag63
24.344767	0.0001	0	1	1	0	1	33	e	0	1	1	0	1	32	f	tag64
25.017711	0.0001	0	0	0	0	1	34	e	0	0	0	0	1	33	e	tag65
25.042831	0.0001	0	1	1	0	1	34	e	0	1	1	0	1	33	e	tag66
25.081384	0.0001	0	1	1	0	1	34	f	0	1	1	0	1	33	f	tag67
25.75238	0.0001	0	0	0	0	1	35	f	0	0	0	0	1	34	e	tag68
26.486949	0.0001	0	0	0	0	1	36	e	0	0	0	0	1	35	e	tag69
27.221416	0.0001	0	0	0	0	1	37	f	0	0	0	0	1	36	e	tag70
27.955778	0.0001	0	0	0	0	1	38	e	0	0	0	0	1	37	e	tag71
28.690031	0.0001	0	0	0	0	1	39	f	0	0	0	0	1	38	e	tag72
29.424174	0.0001	0	0	0	0	1	40	e	0	0	0	0	1	39	e	tag73
30.158203	0.0001	0	0	0	0	1	41	f	0	0	0	0	1	40	e	tag74
